,entity_name_pre,is_equal_pre,is_substring_pre,sequence_matcher_pre,levenshtein_dist_pre,word_len_pre,levenshtein_dist_perc_pre,ocr_mistake_pre,ner_mistake_pre,category_pre,entity_name_digi_pre,entity_name_post,is_equal_post,is_substring_post,sequence_matcher_post,levenshtein_dist_post,word_len_post,levenshtein_dist_perc_post,ocr_mistake_post,ner_mistake_post,category_post,entity_name_digi_post
0,bank_account,0.0,1.0,0.0,15.192963752665245,15.192963752665245,1.0,0.0,1.0,code,bank_account,bank_account,0.8635394456289979,0.9424307036247335,0.9405626223281338,1.3230277185501067,15.192963752665245,0.09005313516005853,0.09914712153518124,0.03731343283582089,code,bank_account
1,bic,0.0,1.0,0.0,8.65359477124183,8.65359477124183,1.0,0.0,1.0,code,bic,bic,0.9324618736383442,0.9891067538126361,0.956351000362083,0.4357298474945534,8.65359477124183,0.0480788274905922,0.02832244008714597,0.0392156862745098,code,bic
2,currency,0.0,1.0,0.0,2.998442367601246,2.998442367601246,1.0,0.0,1.0,misc,currency,currency,0.3644859813084112,0.5825545171339563,0.5777398354501159,1.9080996884735202,2.998442367601246,0.6365524402907581,0.48598130841121495,0.14953271028037382,misc,currency
3,date_due,0.0,1.0,0.0,10.007633587786259,10.007633587786259,1.0,0.0,1.0,date,due_date,date_due,0.8809160305343512,0.9053435114503817,0.9405679518358837,0.6717557251908397,10.007633587786259,0.06664221274908298,0.09465648854961832,0.024427480916030534,date,due_date
4,date_issue,0.0,1.0,0.0,10.002865329512893,10.002865329512893,1.0,0.0,1.0,date,issue_date,date_issue,0.8767908309455588,0.9226361031518625,0.9157677450410114,0.9283667621776505,10.002865329512893,0.09260224016671009,0.07736389684813753,0.045845272206303724,date,issue_date
5,date_uzp,0.0,1.0,0.0,10.00785854616896,10.00785854616896,1.0,0.0,1.0,date,taxable_supply_date,date_uzp,0.8860510805500982,0.9155206286836935,0.9342182114634018,0.7347740667976425,10.00785854616896,0.07291608195341005,0.08447937131630648,0.029469548133595286,date,taxable_supply_date
6,description,0.0,1.0,0.0,69.90485074626865,69.90485074626865,1.0,0.0,1.0,text,description,description,0.31529850746268656,0.6361940298507462,0.6585618922313754,34.80783582089552,69.90485074626865,0.39434404327119066,0.48507462686567165,0.19962686567164178,text,description
7,exchange_rate,0.0,1.0,0.0,11.241379310344827,11.241379310344827,1.0,0.0,1.0,misc,exchange_rate,exchange_rate,0.19310344827586207,0.2482758620689655,0.8645898422224471,2.089655172413793,11.241379310344827,0.19296576986232158,0.7724137931034483,0.034482758620689655,misc,exchange_rate
8,iban,0.0068143100511073255,0.9965928449744463,0.009833234827150622,23.708688245315162,23.943781942078363,0.9902044293015332,0.0034071550255536627,0.989778534923339,code,iban,iban,0.9080068143100511,0.9522998296422487,0.9592015980581446,1.059625212947189,23.943781942078363,0.04320672147314618,0.05792163543441227,0.034071550255536626,code,iban
9,invoice_id,0.010550996483001172,0.9964830011723329,0.013719871323838746,8.914419695193436,9.052754982415006,0.9864872345968477,0.0035169988276670576,0.9859320046893317,code,invoice_id,invoice_id,0.8839390386869871,0.9718640093786636,0.933738398214868,0.6365767878077374,9.052754982415006,0.07037542208995902,0.05509964830011723,0.06096131301289566,code,invoice_id
10,order_id,0.012618296529968454,0.9968454258675079,0.01562265284662761,11.186119873817034,11.318611987381704,0.9845425867507888,0.0031545741324921135,0.9842271293375394,code,order_id,order_id,0.7129337539432177,0.8801261829652997,0.8327870052139622,3.5615141955835963,11.318611987381704,0.33606791899964933,0.14826498422712933,0.138801261829653,code,order_id
11,recipient_address,0.0,0.9823232323232324,0.05057826024215503,36.35479797979798,38.01136363636363,0.963142969917134,0.08712121212121213,0.9128787878787878,text,recipient_address,recipient_address,0.021464646464646464,0.7676767676767676,0.6591359826241411,18.803030303030305,38.01136363636363,0.46128558748902637,0.9053030303030303,0.07323232323232323,text,recipient_address
12,recipient_dic,0.00303951367781155,1.0,0.004486901143436098,9.955927051671733,10.0,0.9955927051671732,0.001519756838905775,0.9954407294832827,code,recipient_tax_id,recipient_dic,0.9346504559270516,0.9802431610942249,0.9506756667850893,0.5,10.0,0.050455927051671734,0.019756838905775075,0.04559270516717325,code,recipient_tax_id
13,recipient_ic,0.0018450184501845018,1.0,0.0018450184501845018,7.979704797047971,7.9944649446494465,0.9981549815498155,0.0,0.9981549815498155,code,recipient_register_id,recipient_ic,0.9280442804428044,0.988929889298893,0.9514561175023516,0.3948339483394834,7.9944649446494465,0.04965808586657296,0.025830258302583026,0.046125461254612546,code,recipient_register_id
14,recipient_name,0.011961722488038277,0.9641148325358851,0.04401762532979836,14.041866028708133,14.910287081339712,0.9569981085501421,0.03588516746411483,0.9521531100478469,text,recipient_name,recipient_name,0.6471291866028708,0.8098086124401914,0.8261723529266004,2.4832535885167464,14.910287081339712,0.18742872781513661,0.2069377990430622,0.145933014354067,text,recipient_name
15,recipient_vat,0.0,1.0,0.0,10.0,10.0,1.0,0.0,1.0,code,recipient_vat_id,recipient_vat,0.45,1.0,0.45,5.5,10.0,0.55,0.0,0.55,code,recipient_vat_id
16,sender_address,0.0034482758620689655,0.9620689655172414,0.0896471809989507,40.01379310344828,42.52758620689655,0.9342469323314738,0.1471264367816092,0.8494252873563218,text,sender_address,sender_address,0.2045977011494253,0.8011494252873563,0.6993519693384317,16.65632183908046,42.52758620689655,0.40648147302623655,0.7459770114942529,0.04942528735632184,text,sender_address
17,sender_dic,0.013285024154589372,0.9975845410628019,0.014747324050393104,10.01328502415459,10.152173913043478,0.986694847020934,0.0024154589371980675,0.9842995169082126,code,sender_tax_id,sender_dic,0.9142512077294686,0.9722222222222222,0.9399518916967429,0.6159420289855072,10.152173913043478,0.061257502561850384,0.030193236714975844,0.05555555555555555,code,sender_tax_id
18,sender_ic,0.015214384508990318,0.9986168741355463,0.01644382972183802,7.955739972337483,8.085753803596127,0.9837482710926694,0.0013831258644536654,0.983402489626556,code,sender_register_id,sender_ic,0.9156293222683264,0.9820193637621023,0.9457737087039015,0.5532503457814661,8.085753803596127,0.05777492447616929,0.034578146611341634,0.04979253112033195,code,sender_register_id
19,sender_name,0.006179196704428424,0.9814624098867147,0.02230901303287537,19.69309989701339,20.127703398558186,0.9792219052997765,0.02265705458290422,0.9711637487126673,text,sender_name,sender_name,0.388259526261586,0.5602471678681772,0.8078398890587207,4.231719876416066,20.127703398558186,0.2181912620510027,0.4840370751802266,0.12770339855818744,text,sender_name
20,sender_vat,0.0,1.0,0.0,10.923076923076923,10.923076923076923,1.0,0.0,1.0,code,sender_vat_id,sender_vat,0.5384615384615384,1.0,0.5384615384615384,4.884615384615385,10.923076923076923,0.46153846153846156,0.0,0.46153846153846156,code,sender_vat_id
21,tax_detail_base,0.0,0.9908256880733946,0.007601572739187418,6.752293577981652,6.802752293577981,0.9927916120576671,0.009174311926605505,0.9908256880733946,amount,tax_detail_base,tax_detail_base,0.8119266055045872,0.9862385321100917,0.8390276262982685,1.1009174311926606,6.802752293577981,0.16331549439347604,0.03211009174311927,0.1559633027522936,amount,tax_detail_base
22,tax_detail_tax,0.0,1.0,0.0,6.065476190476191,6.065476190476191,1.0,0.0,1.0,amount,tax_detail_tax,tax_detail_tax,0.8571428571428571,0.9821428571428571,0.8890175300889587,0.7023809523809523,6.065476190476191,0.14382086167800454,0.041666666666666664,0.10119047619047619,amount,tax_detail_tax
23,tax_rate,0.0,1.0,0.0,1.9426751592356688,1.9426751592356688,1.0,0.0,1.0,misc,tax_rate,tax_rate,0.7484076433121019,1.0,0.7547770700636943,0.47770700636942676,1.9426751592356688,0.2515923566878981,0.009554140127388535,0.24203821656050956,misc,tax_rate
24,total_amount_base,0.0,0.9985294117647059,0.0012605042016806721,7.0058823529411764,7.014705882352941,0.9987394957983193,0.0014705882352941176,0.9985294117647059,amount,total_base,total_amount_base,0.7455882352941177,0.986764705882353,0.773523256587703,1.6573529411764707,7.014705882352941,0.23085375816993464,0.03235294117647059,0.22205882352941175,amount,total_base
25,total_amount_due,0.0,1.0,0.0,7.034090909090909,7.034090909090909,1.0,0.0,1.0,amount,total_due,total_amount_due,0.8068181818181818,0.984375,0.8426879861726954,1.1278409090909092,7.034090909090909,0.16195267406204905,0.041193181818181816,0.15198863636363635,amount,total_due
26,total_amount_incl_tax,0.0,1.0,0.0,7.033730158730159,7.033730158730159,1.0,0.0,1.0,amount,total_incl_tax,total_amount_incl_tax,0.7678571428571429,0.9880952380952381,0.785984125584966,1.5575396825396826,7.033730158730159,0.21598245779793399,0.021825396825396824,0.21031746031746032,amount,total_incl_tax
27,total_amount_rounding,0.0,1.0,0.0,4.220125786163522,4.220125786163522,1.0,0.0,1.0,amount,total_rounding,total_amount_rounding,0.7547169811320755,0.9811320754716981,0.8342517719876211,0.7169811320754716,4.220125786163522,0.17295597484276728,0.10062893081761007,0.14465408805031446,amount,total_rounding
28,total_amount_tax,0.0,1.0,0.0,6.24923076923077,6.24923076923077,1.0,0.0,1.0,amount,total_tax,total_amount_tax,0.6984615384615385,0.9876923076923076,0.7233361269198374,1.7738461538461539,6.24923076923077,0.28008485958485957,0.02923076923076923,0.2723076923076923,amount,total_tax
29,var_sym,0.009505703422053232,1.0,0.009505703422053232,8.570342205323193,8.661596958174904,0.9904942965779467,0.0,0.9904942965779467,code,var_sym,var_sym,0.9543726235741445,0.9885931558935361,0.9755798950892478,0.21292775665399238,8.661596958174904,0.026086366105377512,0.022813688212927757,0.022813688212927757,code,var_sym
